name,legume
ACACIA NILOTICA SSP. KRAUSSIANA,legume
ACALYPHA SP.,non-legume
ACER SP.,non-legume
AGROSTIS SP.,non-legume
AIRA SP.,non-legume
ALNUS SP.,non-legume
AMARANTHUS,non-legume
AMARANTHUS SP.,non-legume
ANDROPOGON SP.,non-legume
APERA SPICA-VENTI,non-legume
AQUILEGIA SP.,non-legume
ARGYROLOBIUM SP.,legume
ARISTIDA CAPUT-MEDUSAE,non-legume
ARISTIDA SP.,non-legume
ASCLEPIAS SP.,non-legume
ASTER SP.,non-legume
ASTRAGALUS MISSOURIENSIS var. MIMETES,legume
AXONOPUS SP.,non-legume
BRASSICA SP.,non-legume
BROMUS SP.,non-legume
BULBOSTYLIS,non-legume
CAPSELLA BURSA-PASTORIS,non-legume
CAREX SP.,non-legume
CARPHEPHORUS SP.,non-legume
CASTILLEJA SP.,non-legume
CERASTIUM FONTANUM SSP. VULGARE,non-legume
CERATOTHECA SP.,non-legume
CHAMAECRISTA SP.,legume
CHAMAESYCE SP.,non-legume
CIRSIUM SP.,non-legume
CORDYLANTHUS SP.,non-legume
CRATAEGUS SP.,non-legume
CREPIS SP.,non-legume
CRYPTANTHA CINEREA var. JAMESII,non-legume
CRYPTANTHA SP.,non-legume
CYCNIUM SP.,non-legume
CYNOGLOSSUM COERULEUM var. MANNII,non-legume
CYPERUS NIVEUS var. LEUCOCEPHALUS,non-legume
CYPERUS SP.,non-legume
DACTYLORHIZA SP.,non-legume
DAUCUS SP.,non-legume
DICHELACHNE SP.,non-legume
DRYOPTERIS FILIX-MAS,non-legume
EQUISETUM SP.,non-legume
ERAGROSTIS SP.,non-legume
ERICAMERIA NAUSEOSA var. NAUSEOSA,non-legume
ERIGERON SP.,non-legume
ERIOCHLOA SP.,non-legume
ERIOPHYLLUM LANATUM var. LEUCOPHYLLUM,non-legume
ERODIUM SP.,non-legume
EUCHITON SP.,non-legume
EUPHORBIA SP.,non-legume
EUPHRASIA SP.,non-legume
FIMBRISTYLIS SP.,non-legume
FRAGARIA SP.,non-legume
FRAXINUS SP.,non-legume
GALIUM SP.,non-legume
GENTIANA SP.,non-legume
GERANIUM SP.,non-legume
GILIA LEPTALEA var. BICOLOR,non-legume
HELIANTHEMUM NUMMULARIUM var. GRANDIFLORUM,non-legume
HELICHRYSUM SP.,non-legume
HIERACIUM SP.,non-legume
HYALOSPERMA SP.,non-legume
HYPERICUM SP.,non-legume
HYPOXIS SP.,non-legume
JUSTICIA SP.,non-legume
LACTUCA SP.,non-legume
LAPPULA OCCIDENTALIS var. OCCIDENTALIS,non-legume
LEDEBOURIA SP.,non-legume
LEONTODON SP.,non-legume
LESPEDEZA JUNCEA var. SERICEA,legume
LILIUM SP.,non-legume
LINANTHUS SP.,non-legume
LOLIUM SP.,non-legume
LONICERA SP.,non-legume
LUDWIGIA SP.,non-legume
LUPINUS SP.,legume
LYCHNIS LATIFOLIA SSP. ALBA,non-legume
MADIA SP.,non-legume
MALUS SP.,non-legume
MALVA SP.,non-legume
MARISCUS SP.,non-legume
MEDICAGO SP.,legume
MELILOTUS SP.,legume
NAVARRETIA INTERTEXTA SSP. PROPINQUA,non-legume
NAVARRETIA SP.,non-legume
OENOTHERA CAESPITOSA var. CAESPITOSA,non-legume
ORNITHOPUS SP.,legume
OXALIS SP.,non-legume
PACHYCARPUS SP.,non-legume
PANICUM SP.,non-legume
PASPALUM SP.,non-legume
PENSTEMON RYDBERGII var. OREOCHARIS,non-legume
PINUS SP.,non-legume
PLANTAGO SP.,non-legume
POA SP.,non-legume
PODOSPERMUM SP.,non-legume
POLYGONUM POLYGALOIDES var. KELLOGGII,non-legume
POLYGONUM SP.,non-legume
PRUNUS SP.,non-legume
QUERCUS SP.,non-legume
RHYNCHOSPORA SP.,non-legume
RUBUS SP.,non-legume
RUMEX SP.,non-legume
RYTIDOSPERMA SP.,non-legume
SALIX SP.,non-legume
SCLERIA SP.,non-legume
SENECIO PINNATIFOLIUS var. ALPINUS,non-legume
SENECIO SP.,non-legume
SETARIA SP.,non-legume
SIDA SP.,non-legume
SILENE LATIFOLIA SSP. ALBA,non-legume
SISYRINCHIUM SP.,non-legume
SMILAX SP.,non-legume
SOLANUM SP.,non-legume
SOLIDAGO SP.,non-legume
SOLIDAGO VIRGAUREA var. MINUTA,non-legume
SPHAERALCEA SP.,non-legume
SPOROBOLUS SP.,non-legume
STELLARIA SP.,non-legume
STIPA SP.,non-legume
SYMPHYOTRICHUM NOVAE-ANGLIAE,non-legume
TAENIATHERUM CAPUT-MEDUSAE,non-legume
THYMUS PRAECOX SSP. POLYTRICHUS,non-legume
TORILIS SP.,non-legume
TRACHYMENE HUMILIS SSP. BREVISCAPA,non-legume
TRIFOLIUM SP.,legume
TRITICUM SP.,non-legume
ULMUS SP.,non-legume
VACCINIUM VITIS-IDAEA,non-legume
VERBENA SP.,non-legume
VERONICA SP.,non-legume
VICIA SATIVA SSP. NIGRA,legume
VICIA SP.,legume
VIGNA SP.,legume
VIOLA SP.,non-legume
VITIS SP.,non-legume
WAHLENBERGIA SP.,non-legume
WALWHALLEYA SP.,non-legume
XYRIS SP.,non-legume
Epipactis SP.,non-legume
SMILAX BONA-NOX,non-legume
ASTRAGALUS SP.,legume
ISOETOPSIS SP.,non-legume
MELILOTUS OFFICINALIS SSP. ALBA,legume
LIPARIS LOESELII,non-legume
LOMATIUM SP.,non-legume
KYLLINGA SP.,non-legume
SEBAEA SEDOIDES var. SCHOENLANDII,non-legume
KALANCHOE SP.,non-legume
